,title,first_artist,all_artists,id,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,loudness_norm,tempo_norm,key_norm,time_signature_norm,labels
320,I'm the One,DJ Khaled,"['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper', 'Lil Wayne']",72Q0FQQo32KJloivv5xge2,0.599,0.667,7,-4.2669999999999995,1,0.0533,0.0,0.134,0.8170000000000001,80.984,288877,4,0.8105344769104037,0.09756114999892745,0.6363636363636364,1.0,4
321,Twenty-Five,Song Ji Eun,['Song Ji Eun'],1CELmnPMIsiAPuOsf2GZfe,0.7709999999999999,0.841,8,-2.763,1,0.12,0.0,0.24,0.755,113.01100000000001,205267,4,0.883413286814944,0.3265527917003312,0.7272727272727273,1.0,4
322,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,"['Maggie Lindemann', 'CADE', 'Cheat Codes']",39IsH7B5byx8NRlEKlZVg9,0.703,0.868,7,-4.6610000000000005,0,0.15,0.132,0.10400000000000001,0.733,121.03,193613,4,0.7914425546348791,0.38388828908702216,0.6363636363636364,1.0,3
323,對摺,Richie Jen,['Richie Jen'],76phDyRgRyPNQs3IbwLxeU,0.503,0.526,8,-6.252999999999999,1,0.375,0.0,0.235,0.38799999999999996,152.207,290493,4,0.7142995590444348,0.606802468164821,0.7272727272727273,1.0,4
324,Company,Justin Bieber,['Justin Bieber'],61uyGDPJ06MkxJtHgPmuyO,0.59,0.797,4,-4.901,0,0.132,0.0,0.0846,0.425,94.948,208120,4,0.7798129573096865,0.19740313597071374,0.36363636363636365,1.0,1
325,女兒心如水,鄧福如 AFÜ,"['鄧福如 AFÜ', '何官錠 AL']",6SgqvsfOM0JQckZN6yS0RD,0.6709999999999999,0.53,7,-7.35,1,0.282,0.0,0.20199999999999999,0.39,95.001,233067,4,0.6611426079372003,0.19778208364018574,0.6363636363636364,1.0,4
326,HUMBLE.,Kendrick Lamar,['Kendrick Lamar'],7KXjTSCq5nL1LoYtL7XAwS,0.9079999999999999,0.621,1,-6.638,0,0.00028199999999999997,5.39e-05,0.0958,0.42100000000000004,150.011,177000,4,0.695643746668605,0.591101164727837,0.09090909090909091,1.0,1
327,有何不可,許嵩,['許嵩'],5rXBmcYNJYMYdhwxlMLh0s,0.5489999999999999,0.521,6,-6.119,1,0.47200000000000003,1.96e-06,0.0978,0.7709999999999999,202.017,240027,4,0.7207927508843339,0.962941777908066,0.5454545454545454,1.0,4
328,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,['G.E.M.'],1bkvGbgK4HU8B7Ue4k7O7I,0.539,0.6679999999999999,1,-6.825,0,0.4,0.0,0.0864,0.23800000000000002,175.86700000000002,235505,4,0.686582352086059,0.7759704277818695,0.09090909090909091,1.0,1
329,日落大道,梁博,['梁博'],7qIm3F7GqOrigJsKadawEZ,0.581,0.47,11,-8.344,1,0.128,4.33e-05,0.11199999999999999,0.235,128.076,275435,4,0.6129766923486941,0.4342668792586926,1.0,1.0,4
