title,first_artist,all_artists,id,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
睡皇后,G.E.M.,['G.E.M.'],3f7D4hlFcvAWCPilTOGJEy,0.716,0.523,7,-8.938,1,0.222,9.71e-05,0.142,0.181,109.976,236462,4
留給你的我從未,Sweet John,['Sweet John'],7ARYI48Dkalpm08NvgYUls,0.29,0.505,11,-7.384,1,0.0207,0.09,0.0923,0.479,89.57,258533,4
Wildest Dreams - The Voice Performance,Katherine Ho,['Katherine Ho'],6I3G2YEds6qkICXxKolIUa,0.568,0.671,8,-4.581,1,0.178,0.0,0.134,0.47,133.859,221693,4
淘汰(國),Eason Chan,['Eason Chan'],3aawXLnJpcDVXCl1UUksAW,0.512,0.551,9,-5.483,1,0.192,0.0,0.302,0.206,117.978,285000,4
Why You Gonna Lie?,高爾宣 OSN,['高爾宣 OSN'],3U0KXR3pWf1wRKsEZeoWtm,0.768,0.76,7,-3.729,1,0.763,0.0,0.141,0.736,90.0,174000,4
分手後不要做朋友,Rachel Liang,['Rachel Liang'],0QYWNTnsFxCBJF7Ns3xLbz,0.59,0.477,11,-5.678,1,0.805,0.0,0.103,0.609,127.823,257727,4
前面轉個彎,NEKO Highway,['NEKO Highway'],0iTVIelGt3wgqTQELPeLGx,0.689,0.177,5,-16.401,1,0.75,0.0,0.114,0.286,143.871,209167,3
PICK IT UP (feat. A$AP Rocky),Famous Dex,"['Famous Dex', 'A$AP Rocky']",0dSIrRkA4PadGll16TgbnV,0.921,0.467,1,-8.443,1,0.0149,0.000238,0.334,0.287,135.995,191252,4
Runaways - Radio Edit,RE:VIBE,"['RE:VIBE', 'SHAUN', 'Adara']",117bzxDjKh1kiHlg3cLbT9,0.524,0.865,1,-3.62,0,0.00547,1.33e-05,0.159,0.297,121.984,228197,4
4U,Vinida,['Vinida'],1HDTwLg8tIgbGjCExJXR9c,0.72,0.386,4,-8.132,0,0.407,1.38e-05,0.09,0.225,89.973,196048,4
Your Side Of The Bed,Loote,['Loote'],3PWKPX3YJAHBL8JozsWTMC,0.781,0.742,8,-4.978,1,0.0649,0.0,0.293,0.91,109.915,197147,4
Party Bus,Rich The Kid,"['Rich The Kid', 'Famous Dex', 'Jay Critch']",0L8oNO0RRrjUqJijjjstbf,0.724,0.636,0,-8.476,1,0.0477,0.0,0.133,0.45,139.958,246862,4
I Don't Care (with Justin Bieber),Ed Sheeran,"['Ed Sheeran', 'Justin Bieber']",3HVWdVOQ0ZA45FuZGSfvns,0.798,0.675,6,-5.041,1,0.0912,0.0,0.0894,0.842,101.956,219947,4
YOU & I,CoCo Lee,['CoCo Lee'],3L6Y0Xw6kYXABk5Thy7b0i,0.384,0.436,4,-6.859,1,0.586,0.0,0.114,0.185,127.236,266821,4
FWYB,K CAMP,['K CAMP'],4dlqzNTlWJWIyKgOTE5uZ3,0.847,0.36,0,-8.313,1,0.252,0.0,0.148,0.52,144.06,161033,4
I Love You,郭雪芙,['郭雪芙'],4GX1GY8RwiA3tZXda2ehQ5,0.704,0.782,5,-7.452,1,0.117,0.000545,0.0725,0.644,120.019,222230,4
One Dance,Drake,"['Drake', 'WizKid', 'Kyla']",1zi7xx7UVEFkmKfv06H8x0,0.792,0.625,1,-5.609,1,0.00776,0.00188,0.329,0.37,103.967,173987,4
bad guy,Billie Eilish,['Billie Eilish'],2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.328,0.13,0.1,0.562,135.128,194088,4
False Alarm,Lockshire,"['Lockshire', 'Khris Aiden', 'Melina K']",1e57tDjOSsa8kSskFIzv1r,0.397,0.753,0,-5.206,1,0.33,4.67e-05,0.185,0.235,165.056,203114,4
一種永遠,Joey Yung,['Joey Yung'],3kyJUSmj8lkccGZqye5CUk,0.369,0.421,6,-7.187,1,0.429,0.0,0.122,0.325,131.995,213636,4
念,Hu Xia,['Hu Xia'],1LMIJ79l4O2hhvIbnEf15X,0.405,0.42,5,-9.82,1,0.3,1.75e-05,0.0845,0.141,105.931,292631,3
I LOVE YOU TOO,李昶俊,['李昶俊'],6xF6cGaniQ216Zy2ylV1gZ,0.635,0.857,6,-5.384,1,0.0842,0.000632,0.179,0.281,109.974,201273,4
You Are Not Alone,Jason Chan,['Jason Chan'],7BEFQAKvJMPtLUVUTAnO6S,0.705,0.67,9,-7.982,1,0.0306,0.0,0.102,0.407,126.025,207857,4
Nice For What,Drake,['Drake'],3CA9pLiwRIGtUBiMjbZmRw,0.586,0.909,8,-6.474,1,0.0891,0.000109,0.119,0.757,93.394,210747,4
Real Life,Jeffrey Kung,"['Jeffrey Kung', '滿舒克']",4zjO08QZHFxFhUcIFXb5Ve,0.842,0.84,1,-5.614,1,0.141,0.0,0.0795,0.78,92.473,211914,4
Awesome,Dany Lee,['Dany Lee'],5TpPzMutZhe2082gaPbTkv,0.902,0.939,0,-3.265,1,0.0564,0.0,0.0789,0.605,111.983,153858,4
40 days,Monkey Majik,['Monkey Majik'],05Pb5QQYERfbVYXaRsJZtQ,0.413,0.875,8,-4.513,0,0.0247,0.000112,0.0988,0.793,173.887,199067,4
"不再說分手 (電影""分手100次""主題曲) - 國",Ivana Wong,['Ivana Wong'],0D7sgJy6WGD4MrDWhSo2eV,0.513,0.188,11,-12.969,1,0.955,2.98e-06,0.0887,0.278,67.339,228747,4
最好的我,Serene Koong,['Serene Koong'],0yjhR0xPPkBNstUJ6VVg8X,0.749,0.649,10,-6.614,1,0.157,0.0,0.34,0.647,135.982,314453,4
龍舌蘭,Eason Chan,"['Eason Chan', 'eason and the duo band']",5VCRrcx8hnFHeggm5acXKs,0.502,0.583,6,-7.327,0,0.485,2.44e-06,0.124,0.215,135.931,285280,4
20 (feat. 王心凌),Ty.,"['Ty.', 'Cyndi Wang']",75SZkjePzOFL6VTCxtdbey,0.843,0.368,9,-15.239,1,0.548,0.0,0.111,0.391,104.017,196154,4
Without Her,Eric Chou,['Eric Chou'],3htLc9I7j91cYAFUd9wu4J,0.728,0.719,9,-7.127,0,0.375,0.000391,0.0852,0.166,110.01,216493,4
有一種悲傷,劉以豪,['劉以豪'],7zTuHLtomKqhNyq9IUbDoi,0.39,0.121,10,-13.126,1,0.913,2.74e-06,0.113,0.16,80.236,240079,4
幾分之幾 - 電影<花甲大人轉男孩>主題曲,Crowd Lu,['Crowd Lu'],4F7ZAsndEIJXyFzJUHNlRu,0.519,0.342,1,-5.54,1,0.636,0.0,0.1,0.425,143.819,228571,4
Get Dripped (feat. Playboi Carti),Lil Yachty,"['Lil Yachty', 'Playboi Carti']",3m2aDCqn8eT5ElXDUiboGU,0.95,0.489,8,-8.411,1,0.105,0.0,0.411,0.919,130.021,158769,4
Tic Tac Toe (feat. Kodak Black),Meek Mill,"['Meek Mill', 'Kodak Black']",35J4wXQeRuHNOEArMy6FOe,0.821,0.72,10,-4.606,0,0.00902,7.07e-06,0.158,0.285,150.039,185261,4
Hoes Mad,Famous Dex,['Famous Dex'],1u8kqieXwWHMnetFOk8rjg,0.706,0.758,7,-7.543,1,0.0317,0.0,0.489,0.523,134.867,190222,4
Bad Day,LION,['LION'],7vO4t6vUINdNtAfOtEl4Ya,0.532,0.809,3,-4.368,1,0.147,0.0,0.129,0.194,140.162,258644,4
CAKE,iri,['iri'],5qdTTy2EtCQ33s60U9vTOJ,0.78,0.677,11,-5.438,0,0.123,1.39e-06,0.108,0.656,107.003,214533,4
8 Letters,Why Don't We,"[""Why Don't We""]",4zRZAmBQP8vhNPf9i9opXt,0.607,0.478,1,-5.702,0,0.649,0.0,0.0928,0.255,88.979,190027,4
不用去猜,Jony J,['Jony J'],2G9RfvqkR9SMsUdWzuKuTP,0.844,0.505,5,-7.949,0,0.658,1.64e-06,0.182,0.637,129.919,213231,4
即使這個世界令人絕望 (動畫片《芽》片頭曲),Verity,['Verity'],1MpNn6D8lJ8u6Y6u1j6ujg,0.234,0.534,8,-11.577,0,0.19,0.012,0.116,0.145,154.127,240469,3
When You Are In My Song - “獨一無二” English Version,AGA,['AGA'],1tw45wCqK6adbDTE1XLc76,0.584,0.263,7,-8.001,1,0.884,0.0,0.181,0.388,139.866,202382,4
Daydreaming,張粹方,['張粹方'],3R5GztC6iKkKyFREXwbT6P,0.601,0.719,11,-5.603,1,0.0539,0.0,0.239,0.745,76.108,223421,4
Flashlight,iri,['iri'],1fBMrvJzGc5hikHN2oF0cb,0.782,0.56,8,-6.379,1,0.0418,3.2e-06,0.0965,0.849,108.012,200613,4
Truly,宋楚琳,['宋楚琳'],0VczovvOr8bGZYluYpeFKL,0.795,0.639,2,-5.823,1,0.498,0.0,0.16,0.476,104.023,189601,4
人蔘就4個賤人,爽樂團,['爽樂團'],4HhXcfqU3mwSpN02wpImVV,0.799,0.71,0,-5.969,1,0.204,0.0,0.124,0.908,97.994,283278,4
"Nervous (feat. Lil Baby, Jay Critch & Rich the Kid)",Famous Dex,"['Famous Dex', 'Jay Critch', 'Lil Baby', 'Rich The Kid']",0n22yqkitWec0PV6tibWEO,0.68,0.732,10,-7.108,0,0.235,0.000174,0.0705,0.864,75.422,230408,4
不是因為天氣晴朗才愛你,理想混蛋,['理想混蛋'],7KAhj1obJrK5Avezca7YVL,0.505,0.271,8,-13.185,1,0.754,1.23e-06,0.0883,0.401,136.049,240754,4
